web-scraper-order,web-scraper-start-url,name,place,min,pref,res,about
1712035634-1,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Software Engineer III, Engineering Productivity","Kraków, Poland","Bachelor’s degree or equivalent practical experience.

2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.

2 years of experience with data structures or algorithms.

2 years of experience building developer tools that improve developer velocity, code quality, and code health (e.g., compilers, automated releases, code design and testing, test automation frameworks).","Master's degree or PhD in Computer Science or related technical fields.

Experience developing accessible technologies.","Write product or system development code.

Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.

Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).

Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.

Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward."
1712035634-2,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Software Engineer III, Engineering Productivity","Kraków, Poland","Bachelor’s degree or equivalent practical experience.

2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.

2 years of experience with data structures or algorithms.

2 years of experience building developer tools that improve developer velocity, code quality, and code health (e.g., compilers, automated releases, code design and testing, test automation frameworks).","Master's degree or PhD in Computer Science or related technical fields.

Experience developing accessible technologies.","Write product or system development code.

Participate in, or lead design reviews with peers and stakeholders to decide amongst available technologies.

Review code developed by other developers and provide feedback to ensure best practices (e.g., style guidelines, checking code in, accuracy, testability, and efficiency).

Contribute to existing documentation or educational content and adapt content based on product/program updates and user feedback.

Triage product or system issues and debug/track/resolve by analyzing the sources of issues and the impact on hardware, network, or service operations and quality.","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward."
1712035634-3,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Security Sales Specialist, VirusTotal","Munich, Germany","Bachelor's degree or equivalent practical experience.
Candidates will typically have 7 years of experience in a sales role in the enterprise software or cloud space.

Candidates will typically have 3 years of experience in the enterprise cybersecurity space.

Ability to communicate in German fluently to support client relationship management in this region.","Experience carrying and exceeding strategic business goals.
Experience planning, pitching, and executing business and customer transformation strategy aligned to data and analytics.

Experience starting a territory from scratch, with an understanding of the security partner ecosystem.

Ability to build relationships, promote executives across security and IT business units, ensuring customer success and adoption that leads to customer expansion.","Construct and execute an effective territory development plan. Promote security products in the territory to new and existing security customers, meeting or exceeding quarterly goals.
Develop and drive pipeline, managing cycles, from lead generation to customer onboarding.
Build and maintain relationships to influence long-term strategic direction. Act as a trusted advisor to the account. 
Partner with Marketing, Customer Engineering, Customer Success, Channels and Product and Engineering teams.
Serve as a stakeholder to regional cloud leads, reporting current, accurate and timely forecasting and business performance in Salesforce and other tools.",
1712035634-4,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Data Center Technician, Hardware","Columbus, OH, USA","Experience in a data center, network operation center, help desk, or similar environments.

Experience in hardware, networking equipment, operating systems, and data center operations.

Experience in maintenance, monitoring of server systems, operating systems, or networking protocols.","Experience in light coding or scripting.

Ability to work in differing rotations/shifts and non-standard hours.","Contribute to and lead efforts/projects in the deployment, maintenance and support of current and new data center servers and network infrastructure.
Lead complex troubleshooting and resolve critical or escalated technical issues over a significant population of affected equipment.
Assist in deploying next generation ML platforms, providing feedback to local deployment/project teams.
Help test and troubleshoot new complex server hardware components and designs.
Configure and troubleshoot OS-related issues on servers.","Google isn't just a software company. The Hardware Operations team is responsible for monitoring the state-of-the-art physical infrastructure behind Google's powerful search technology. As an Operations Technician, you'll install, configure, test, troubleshoot and maintain hardware (like servers and its components) and server software (like Google's Linux cluster). You'll also take on the configuration of more complex components such as networks, routers, hubs, bridges, switches and networking protocols. You'll participate in or lead small project teams on larger installations and develop project contingency plans. A typical day involves manual movement and installation of racks, and while it can sometimes be physically demanding, you are excited to work with infrastructure that is at the cutting-edge of computer technology."
1712035634-5,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Customer Engineer, ML, Google Cloud","San Francisco, CA, USA","Bachelor's degree or equivalent practical experience.
5 years of experience as a sales engineer or technical consultant in a cloud computing environment or in a customer-facing role.

Experience in virtualization or cloud native architectures in a customer-facing or support role.
Experience with big data, machine learning, and numerical programming frameworks (e.g., TensorFlow, Python, MATLAB).","Master's degree in Computer Science or a related technical field.

Experience building machine learning solutions and leveraging specific machine learning architectures (e.g., deep learning, LSTM, convolutional networks).

Experience architecting and developing software or infrastructure for scalable, distributed systems.
Experience in data and information management as it relates to big data trends and issues within businesses.

Ability to learn quickly, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT technology space.","Work with the team to identify and qualify business opportunities, understand key customer technical objections, and develop the strategy to resolve technical blockers.

Provide in-depth machine learning expertise to support the technical relationship with Google’s customers, including product and solution briefings and proof-of-concept work. Partner directly with product management to prioritize solutions impacting customer adoption to Google Cloud.
Work directly with customers to demonstrate and prototype Google Cloud product integrations in customer/partner environments.
Recommend integration strategies, enterprise architectures, platforms, and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud.","When leading companies choose Google Cloud, it's a huge win for spreading the power of cloud computing globally. Once educational institutions, government agencies, and other businesses sign on to use Google Cloud products, you come in to facilitate making their work more productive, mobile, and collaborative. You listen and deliver what is most helpful for the customer. You assist fellow sales Googlers by problem-solving key technical issues for our customers. You liaise with the product marketing management and engineering teams to stay on top of industry trends and devise enhancements to Google Cloud products."
1712035634-6,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,Digital Marketing Strategist,"Warsaw, Poland","Bachelor's degree or equivalent practical experience.

Experience in analytics or insight-based solutions.

Ability to communicate in English and Greek fluently to support client relationship management in this region.","Experience building and maintaining relationships with key stakeholders.
Knowledge of online marketing strategy and tactics and expertise in managing digital advertising campaigns with a focus on performance marketing.

Ability to build compelling narratives to successfully influence clients utilizing data and insights.

Ability to collect, analyze, and interpret data to derive actionable insights.","Collaborate closely with Account Managers/Account Executives to determine the optimal support for the client portfolio.
Develop and apply knowledge of the market, industry, products, and tools in preparation to offer solutions for our clients' business challenges.
Analyze data and trends in order to create meaningful insights for clients.
Implement solutions, track performance, and optimize against advertiser goals.
Report on key performance indicators and value delivered for customers. Create proposals to represent solution design around client goals.","gTech Global Customer Care (gGCC) is a solution-generating effort that helps our sales teams and advertisers. These solutions need to be scalable to support millions of customers worldwide. In addition to troubleshooting on the customer side, we work with Sales, Product, and Engineering teams within Google to develop better tools and services and improve our products based on the evolving needs of our users. As a cross-functional and global team, it's our job to help keep the lights on and the ads fresh."
1712035634-7,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Program Manager, Data Center Construction","Ridgeville, SC, USA","Bachelor's degree or equivalent practical experience.

2 years of experience in program or project management.

2 years of experience managing multi-group/disciplinary projects.

Experience constructing mission critical technical facilities.","Master's degree in Electrical, Mechanical, Industrial Engineering, Construction Management, or a related field.

2 years of experience managing cross-functional or cross-team projects.

1 year of experience with data center equipment/environments, including switch gears, generators, chillers, cooling towers, air handling units, controls, security monitoring systems, and fire safety systems.

Experience managing vendor relationships and understanding of standard practices in the design and construction industry, including knowledge of fast track design build processes and associated documents and contracts.

Understanding of start up/commissioning processes.

Knowledge of large-scale facility systems.","Manage multiple large data center projects from inception through to completion.

Support renovations and upgrades of existing facilities.

Be responsible for gathering internal requirements and delivering solutions that satisfy customer's needs.

Maintain complete responsibility from construction to deployment.

Resolve highly critical issues within the matrix organization while maintaining rigorous adherence to project timelines and costs.","A problem isn’t truly solved until it’s solved for all. That’s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Program Manager at Google, you’ll lead complex, multi-disciplinary projects from start to finish — working with stakeholders to plan requirements, manage project schedules, identify risks, and communicate clearly with cross-functional partners across the company. Your projects will often span offices, time zones, and hemispheres. It's your job to coordinate the players and keep them up to date on progress and deadlines.

Our goal is to build a Google that looks like the world around us — and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company."
1712035634-8,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Silicon Design Engineering Lead, Raxium","Fremont, CA, USA","Bachelor's degree in Computer Engineering, Electrical Engineering, Computer Science, or related field, or equivalent practical experience.

10 years of experience in ASIC/SoC design, with multiple completed tapeouts.

10 years of experience in mixed signal, such as memory integration, Video Input (e.g., MIPI, Quad SPI, I2c), Analog Block Design, Mixed-Signal Design Flow, or Custom Module Modeling (e.g. LEF/DEF/Liberty).","Master's degree in Computer Engineering, Electrical Engineering, Computer Science, or related field.

Experience with analog and digital circuit design and simulation, and pre- and post-silicon validation/testing.

Experience building and managing high-performance, multinational chip design teams.","Define module interfaces/formats, perform logic design and verification, develop gate/transistor-level simulations, and integrate subblocks (e.g., digital, analog, mixed-signal, IO, memory, DFT).
Execute all aspects from high-level design through synthesis, place and route, timing, and power analysis, creating a manufacturing-ready database.
Drive technology closures, ensure adherence to tools, flows, and methodologies, and resolve customer-related issues through cross-functional collaboration.
Lead a multinational high-performance design team to design, implement, and verify a production-ready, full-custom, mixed-signal CMOS backplane chip for a MicroLED based MicroDisplay panel.

Collaborate with architecture and design teams, improve implementation and DFT flows, and contribute to a successful tapeout.","Our computational challenges are so big, complex and unique we can't just purchase off-the-shelf hardware, we've got to make it ourselves. Your team designs and builds the hardware, software and networking technologies that power all of Google's services. As a Hardware Engineer, you design and build the systems that are the heart of the world's largest and most powerful computing infrastructure. You develop from the lowest levels of circuit design to large system design and see those systems all the way through to high volume manufacturing. Your work has the potential to shape the machinery that goes into our cutting-edge data centers affecting millions of Google users. 

With your technical expertise, you lead projects in multiple areas of expertise (i.e., engineering domains or systems) within a data center facility, including construction and equipment installation/troubleshooting/debugging with vendors."
1712035634-9,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Security Engineering Manager, Cloud CISO","Málaga, Spain","Bachelor's degree in Computer Science, a related technical field, or equivalent practical experience

Experience managing a team of engineering or security operations professionals for an organization

Experience with threat modeling

Experience as a technical security professional prior to management","Experience growing and developing a team

Experience with automation and Security Analysis
Experience in technical program management

Ability to influence others

Excellent communication skills","Lead a team which will identify security issues and implement and design security controls, tools, and services to improve security systems and processes.

Work in partnership with engineers and technical program managers within Cloud CISO and the Product Security Engineering team to ensure that Google Cloud Platform grows securely.

Lead a team which will perform security reviews, research and reproduce vulnerabilities, design secure protocols and systems, and write tests and fuzzers. 

Manage a team which will review and develop secure operational practices, and provide security guidance for engineers and support staff.

Focus on the security strategy for Google Cloud.","Our Security team works to create and maintain the safest operating environment for Google's users and developers. Security Engineers work with network equipment and actively monitor our systems for attacks and intrusions. In this role, you will also work with software engineers to proactively identify and fix security flaws and vulnerabilities."
1712035634-10,https://www.google.com/about/careers/applications/jobs/results/92638394686808774-software-engineer-iii-engineering-productivity,"Staff Product Design Engineer, Tablets","Mountain View, CA, USA","Bachelor's degree in Mechanical Engineering, Product Design, or related field, or equivalent practical experience.

8 years of experience designing mechanical components such as plastic or metal parts, mechanical assemblies, printed circuit boards, or flexes.

8 years of experience using computer-aided design tools such as 3D MCAD, NX, Creo, or Solidworks.","Master's degree in Mechanical Engineering, Product Design, a related field, or equivalent practical experience.

12 years of experience with consumer product development, collaborating cross-functionally with industrial design, electrical engineering, and manufacturing operations teams.

Experience with machine shop tools, ability to in design with plastics and metals, and knowledge of structural finite element analysis (FEA).
Familiar with a range of manufacturing techniques, Design for Manufacturing review and electromechanical assemblies (e.g., LCD/OLED displays, batteries, sensors, FPC’s, PCB’s, antennas, buttons, etc.).

Proficiency with Unigraphics NX or Teamcenter with proficiency in 3D CAD modeling and 2D drawing creation.","Manage the subsystem or individual consumer electronics part designs from concept to production.

Work with global manufacturing suppliers and partners of subsystems, and drive individual part design from concept to production. Ability to travel to meet with suppliers and support system manufacturing during product development stages.

Create and publish detailed 3D CAD and 2D drawings for your design models, search out and select materials, components, and sub-systems for the products you launch.

Build and troubleshoot prototypes, analyze the results of the reliability testing, iterate to  improve the product design, and bring to production.

Design for function, reliability, human factors, manufacturability, and cosmetic requirements.",
